"model","dist","n","parameter","std_err","std"
2,"snorm",2500,"alpha",0.0572092812903018,0.0257303306280496
2,"snorm",5000,"alpha",0.0414055386311349,0.0204327320975346
2,"snorm",10000,"alpha",0.0291885035077402,0.0220277078026327
2,"snorm",100,"beta",0.367024529450788,0.292579413102853
2,"snorm",250,"beta",0.171952388421729,0.159158359049081
2,"snorm",500,"beta",0.0774401080831681,0.077969595102086
2,"snorm",1000,"beta",0.0443995698562092,0.0511882751746764
2,"snorm",2500,"beta",0.0280908939799233,0.0179324867509361
2,"snorm",5000,"beta",0.0198984154110526,0.0163622658548161
2,"snorm",10000,"beta",0.0143187803024714,0.0213199121294681
3,"snorm",100,"omega",1.36053965392293,1.32997536761604
3,"snorm",250,"omega",1.22459095376307,0.605651135962367
3,"snorm",500,"omega",1.03454878750935,0.336283208754561
3,"snorm",1000,"omega",0.652085989004431,0.194441278651806
3,"snorm",2500,"omega",0.325108889187865,0.114830756219666
3,"snorm",5000,"omega",0.214841436101042,0.0805126151399594
3,"snorm",10000,"omega",0.147351679923856,0.0546895765644035
3,"snorm",100,"alpha",0.126887223656868,0.0612123336137992
3,"snorm",250,"alpha",0.0871409026285576,0.0338167993111114
3,"snorm",500,"alpha",0.0623010818596939,0.019542746747522
3,"snorm",1000,"alpha",0.039125003066186,0.0130978618451108
3,"snorm",2500,"alpha",0.0213169122984579,0.00796382776206679
3,"snorm",5000,"alpha",0.014693963592607,0.00564267147767483
3,"snorm",10000,"alpha",0.0105267906679555,0.00394699370163378
3,"snorm",100,"beta",0.219094815452017,0.179633110064232
3,"snorm",250,"beta",0.191551625817607,0.0875076784541587
3,"snorm",500,"beta",0.151334294715868,0.0467209605549542
3,"snorm",1000,"beta",0.0948282244635183,0.0270220241568071
3,"snorm",2500,"beta",0.0468237015776812,0.0161820164605262
3,"snorm",5000,"beta",0.0311165483954211,0.0112641597594987
3,"snorm",10000,"beta",0.0216507185634409,0.00770514009571604
