"model","dist","n","parameter","std"
1,"std",2500,"omega",0.136746105318088
1,"std",2500,"omega",0.277976454249418
1,"std",2500,"omega",0.102704994833136
1,"std",2500,"omega",0.150736226138191
1,"std",2500,"omega",0.141738073616683
1,"std",2500,"omega",0.138524323722672
1,"std",2500,"omega",0.174051281274751
1,"std",2500,"omega",0.186500202370135
1,"std",2500,"omega",0.128743813166297
1,"std",2500,"omega",0.122509531105424
1,"std",2500,"omega",0.13275337297358
1,"std",2500,"omega",0.192175714972436
1,"std",2500,"omega",0.145900197756463
1,"std",2500,"omega",0.191183549236648
1,"std",2500,"omega",0.170515176832134
1,"std",2500,"omega",0.147563401074097
1,"std",2500,"omega",0.204772931776351
1,"std",2500,"omega",0.192647480065864
1,"std",2500,"omega",0.146173984670956
1,"std",2500,"omega",0.169104489170511
1,"std",2500,"omega",0.141495795342635
1,"std",2500,"omega",0.200024678511763
1,"std",2500,"omega",0.172457239925154
1,"std",5000,"omega",0.190221229450933
1,"std",5000,"omega",0.155001282231147
1,"std",5000,"omega",0.188829979547481
1,"std",5000,"omega",0.117104238189797
1,"std",5000,"omega",0.101285795340976
1,"std",5000,"omega",0.125275155477994
1,"std",5000,"omega",0.144733109239418
1,"std",5000,"omega",0.122481338314245
1,"std",5000,"omega",0.147486518426995
1,"std",5000,"omega",0.146904662706698
1,"std",5000,"omega",0.398733565189116
1,"std",5000,"omega",0.123578768451288
1,"std",5000,"omega",0.140247830793351
1,"std",5000,"omega",0.145304514756733
1,"std",5000,"omega",0.105048276647733
1,"std",5000,"omega",0.133185411316292
1,"std",5000,"omega",0.116352703154748
1,"std",5000,"omega",0.135207066187239
1,"std",5000,"omega",0.10825733068436
1,"std",5000,"omega",0.116659400474406
1,"std",5000,"omega",0.125321790649579
1,"std",5000,"omega",0.12567816912396
1,"std",5000,"omega",0.13412154165403
1,"std",5000,"omega",0.112848012249562
1,"std",5000,"omega",0.118022602940782
1,"std",5000,"omega",0.154681097012744
1,"std",5000,"omega",0.133324221224322
1,"std",5000,"omega",0.124251993581177
1,"std",5000,"omega",0.0990707085773041
1,"std",5000,"omega",0.135132709300181
1,"std",5000,"omega",0.112234718750641
1,"std",5000,"omega",0.0955010995457237
1,"std",5000,"omega",0.12967628242615
1,"std",5000,"omega",0.132805997146798
1,"std",5000,"omega",0.139811638550968
1,"std",5000,"omega",0.110629070284238
1,"std",5000,"omega",0.0637799530037092
1,"std",5000,"omega",0.131057101018991
1,"std",5000,"omega",0.13705943724241
1,"std",5000,"omega",0.105146084679665
1,"std",5000,"omega",0.100910397032793
1,"std",5000,"omega",0.102751144147669
1,"std",5000,"omega",0.178098197760177
1,"std",5000,"omega",0.0857330343297792
1,"std",5000,"omega",0.12304799033728
1,"std",5000,"omega",0.114994636210369
1,"std",5000,"omega",0.138693695076951
1,"std",5000,"omega",0.108163039627689
1,"std",5000,"omega",0.124519211714291
1,"std",5000,"omega",1.04613400444562
1,"std",5000,"omega",0.130003554578929
1,"std",5000,"omega",0.129388535492276
1,"std",5000,"omega",0.12513352245202
1,"std",5000,"omega",0.14585940898578
1,"std",5000,"omega",0.10151697675125
1,"std",5000,"omega",0.193632423853309
1,"std",5000,"omega",0.121168743238363
1,"std",5000,"omega",0.113808686087374
1,"std",5000,"omega",0.113397704213954
1,"std",5000,"omega",0.147199788481178
1,"std",5000,"omega",0.143548617959609
1,"std",5000,"omega",0.257823135920052
1,"std",5000,"omega",0.12199906669671
1,"std",5000,"omega",0.120152356991418
1,"std",5000,"omega",0.113985667374324
1,"std",5000,"omega",0.101941010924986
1,"std",5000,"omega",0.13610072952825
1,"std",5000,"omega",0.111303622793045
1,"std",5000,"omega",0.0952304349575925
1,"std",5000,"omega",0.11138425141521
1,"std",5000,"omega",0.173422823740217
1,"std",5000,"omega",0.125391554809526
1,"std",5000,"omega",0.162471430549849
1,"std",5000,"omega",0.115295327061535
1,"std",5000,"omega",0.127674469624224
1,"std",5000,"omega",0.138138762462208
1,"std",5000,"omega",0.126560953825858
1,"std",5000,"omega",0.150349672959068
1,"std",5000,"omega",0.132090930666947
1,"std",5000,"omega",0.120768886224672
1,"std",5000,"omega",0.160891739970144
1,"std",5000,"omega",0.152940463681043
1,"std",5000,"omega",0.133830045650381
1,"std",5000,"omega",0.149597121361039
1,"std",5000,"omega",0.116883531859671
1,"std",5000,"omega",0.147255110406477
1,"std",5000,"omega",0.113970500242885
1,"std",5000,"omega",0.145683040984647
1,"std",5000,"omega",0.182775756688409
1,"std",5000,"omega",0.500554880386911
1,"std",5000,"omega",0.115407991952969
1,"std",5000,"omega",0.102999517594718
1,"std",5000,"omega",0.114927656199201
1,"std",5000,"omega",0.109157625737119
1,"std",5000,"omega",0.147894871282156
1,"std",5000,"omega",0.143413485243558
1,"std",5000,"omega",0.102390883618049
1,"std",5000,"omega",0.132372249424892
1,"std",5000,"omega",0.250426297626157
1,"std",5000,"omega",0.129433234975286
1,"std",10000,"omega",0.127219457039463
1,"std",10000,"omega",0.072503326507068
1,"std",10000,"omega",0.0839551410092757
1,"std",10000,"omega",0.0925968812539421
1,"std",10000,"omega",0.0990975395359165
1,"std",10000,"omega",0.109487525546578
1,"std",10000,"omega",0.0804487569744604
1,"std",10000,"omega",0.0855077575500849
1,"std",10000,"omega",0.102517697850705
1,"std",10000,"omega",0.0917680501501473
1,"std",10000,"omega",0.00969508352891276
1,"std",10000,"omega",0.0888398516324708
1,"std",10000,"omega",0.0853769409359226
1,"std",10000,"omega",0.163932958904715
1,"std",10000,"omega",0.0814661421938605
1,"std",10000,"omega",0.07375940086169
1,"std",10000,"omega",0.0918590319104465
1,"std",10000,"omega",0.0936343969851294
1,"std",10000,"omega",0.106449626849516
1,"std",10000,"omega",0.0899329103738028
1,"std",10000,"omega",0.0930419571806891
1,"std",10000,"omega",0.0789668704873075
1,"std",10000,"omega",0.10055930125895
1,"std",10000,"omega",0.0873842291693526
1,"std",10000,"omega",0.0840789036087452
1,"std",10000,"omega",0.105605290120501
1,"std",10000,"omega",0.0935444743449119
1,"std",10000,"omega",0.0980143042094099
1,"std",10000,"omega",0.112224130708966
1,"std",10000,"omega",0.124578396951864
1,"std",10000,"omega",0.0796781385658475
1,"std",10000,"omega",0.0854469840872162
1,"std",10000,"omega",0.0982554072993363
1,"std",10000,"omega",0.0975287300585881
1,"std",10000,"omega",0.0988816983594978
1,"std",10000,"omega",0.0921036223622674
1,"std",10000,"omega",0.117435577586376
1,"std",10000,"omega",0.093859496897899
1,"std",10000,"omega",0.0978487758698919
1,"std",10000,"omega",0.0755879426130726
1,"std",10000,"omega",0.0911404983133493
1,"std",10000,"omega",0.0852513136539783
1,"std",10000,"omega",0.100236339872662
1,"std",10000,"omega",0.12312203507438
1,"std",10000,"omega",0.0709871787526987
1,"std",10000,"omega",0.0809777217310963
1,"std",10000,"omega",0.0730214148942812
1,"std",10000,"omega",0.0757576497304979
1,"std",10000,"omega",0.104315433255346
1,"std",10000,"omega",0.070680967690624
1,"std",10000,"omega",0.0941781119111489
1,"std",10000,"omega",0.0836199009231969
1,"std",10000,"omega",0.0781716817964531
1,"std",10000,"omega",0.0927066277576294
1,"std",10000,"omega",0.111829065755579
1,"std",10000,"omega",0.0667207756025531
1,"std",10000,"omega",0.0926836915775015
1,"std",10000,"omega",0.0760025864843572
1,"std",10000,"omega",0.0811908852838468
1,"std",10000,"omega",0.115488400475977
1,"std",10000,"omega",0.0750479214554846
1,"std",10000,"omega",0.0972071784774528
1,"std",10000,"omega",0.0829753811921809
1,"std",10000,"omega",0.0715836395238849
1,"std",10000,"omega",0.0793219989086154
1,"std",10000,"omega",0.0893909919546728
1,"std",10000,"omega",0.0676013653245616
1,"std",10000,"omega",0.121580202126924
1,"std",10000,"omega",0.0795014159072488
1,"std",10000,"omega",0.112229607727873
1,"std",10000,"omega",0.0801040134599888
1,"std",10000,"omega",0.0735697486094465
1,"std",10000,"omega",0.0781189464341888
1,"std",10000,"omega",0.0896630658523426
1,"std",10000,"omega",0.0842891823380214
1,"std",10000,"omega",0.0651277054263215
1,"std",10000,"omega",0.097639421401113
1,"std",10000,"omega",0.100643704292928
1,"std",10000,"omega",0.0926136752360531
1,"std",10000,"omega",0.102098425161111
1,"std",10000,"omega",0.0737788211713559
1,"std",10000,"omega",0.0837076929644322
1,"std",10000,"omega",0.0874461959343052
1,"std",10000,"omega",0.0961558622626181
1,"std",10000,"omega",0.0830321584849599
1,"std",10000,"omega",0.0984587049943722
1,"std",10000,"omega",0.080044245562442
1,"std",10000,"omega",0.0832862674111724
1,"std",10000,"omega",0.0974647346643194
1,"std",10000,"omega",0.0953516725562782
1,"std",10000,"omega",0.110085729148676
1,"std",10000,"omega",0.0942941468484615
1,"std",10000,"omega",0.0815986431689941
1,"std",10000,"omega",0.0854964392795084
1,"std",10000,"omega",0.0860791797137608
1,"std",10000,"omega",0.101558808711238
1,"std",10000,"omega",0.0947308515817629
1,"std",10000,"omega",0.114113328586284
1,"std",10000,"omega",0.0823942932965801
1,"std",10000,"omega",0.0919593300969762
1,"std",100,"alpha",0.119321580728874
1,"std",100,"alpha",0.0705497376888671
1,"std",100,"alpha",0.0794525722254468
1,"std",100,"alpha",0.0266518827183491
1,"std",100,"alpha",0.161582626496466
1,"std",100,"alpha",0.262952451081332
1,"std",100,"alpha",0.464651188385591
